NAICS_SECTOR,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
44 ,12,4,  31.7%,  1.10%
44 ,12,5,  11.8%,  0.85%
44 ,13,1,   6.4%,  0.65%
44 ,13,2,  10.8%,  0.93%
44 ,13,3,  16.1%,  0.88%
44 ,13,4,  25.2%,  0.70%
44 ,13,5,  21.8%,  1.06%
44 ,13,6,   3.4%,  0.57%
44 ,13,7,  16.2%,  0.47%
44 ,14,1,   2.7%,  0.40%
44 ,14,2,  97.3%,  0.40%
44 ,15,1,   9.1%,  0.64%
44 ,15,2,  90.9%,  0.64%
44 ,16,1,  75.9%,  0.87%
44 ,16,2,  26.2%,  1.18%
44 ,16,3,  16.1%,  0.80%
44 ,16,4,   1.0%,  0.24%
44 ,16,5,   0.5%,  0.15%
44 ,16,6,   2.9%,  0.46%
44 ,16,7,   0.3%,  0.12%
44 ,16,8,   1.3%,  0.13%
44 ,16,9,   7.0%,  0.39%
44 ,16,10,   4.6%,  0.47%
44 ,16,11,   9.9%,  0.79%
44 ,16,12,   3.1%,  0.45%
44 ,16,13,   2.9%,  0.40%
44 ,16,14,  16.6%,  0.65%
44 ,17,1,  74.5%,  0.95%
44 ,17,2,  23.2%,  1.20%
44 ,17,3,  10.6%,  0.65%
44 ,17,4,   0.3%,  0.12%
44 ,17,5,   0.5%,  0.17%
44 ,17,6,   2.6%,  0.34%
44 ,17,7,   0.2%,  0.08%
44 ,17,8,   1.4%,  0.20%
44 ,17,9,  20.9%,  0.85%
44 ,18,1,  30.7%,  0.84%
44 ,18,2,  32.2%,  1.04%
44 ,18,3,  37.0%,  1.07%
44 ,19,1,  20.9%,  1.00%
44 ,19,2,  22.5%,  1.07%
44 ,19,3,  23.1%,  0.76%
44 ,19,4,  37.8%,  1.00%
44 ,19,5,  14.6%,  1.00%
44 ,19,6,  24.3%,  0.82%
44 ,19,7,   4.4%,  0.53%
44 ,19,8,  32.4%,  1.08%
44 ,20,1,   0.9%,  0.19%
44 ,20,2,   3.3%,  0.39%
44 ,20,3,  12.6%,  0.57%
44 ,20,4,  41.0%,  1.40%
44 ,20,5,   8.9%,  0.68%
44 ,20,6,   1.8%,  0.32%
44 ,20,7,  15.7%,  0.98%
44 ,20,8,  15.7%,  0.63%
48 ,2,1,  34.1%,  1.62%
48 ,2,2,  39.8%,  2.10%
48 ,2,3,  20.1%,  1.27%
48 ,2,4,   4.5%,  0.84%
48 ,2,5,   1.5%,  0.39%
48 ,3,1,   8.3%,  0.61%
48 ,3,2,   2.6%,  0.49%
48 ,3,3,   5.3%,  0.93%
48 ,3,4,  12.7%,  1.05%
48 ,3,5,  18.4%,  1.10%
48 ,3,6,  15.1%,  1.26%
48 ,3,7,   8.3%,  0.85%
48 ,3,8,  11.2%,  1.42%
48 ,3,9,   8.4%,  0.91%
48 ,3,10,   9.7%,  1.07%
48 ,4,1,   7.5%,  1.02%
48 ,4,2,  27.6%,  1.55%
48 ,4,3,  64.9%,  1.68%
48 ,5,1,   0.5%,  0.15%
48 ,5,2,   2.0%,  0.39%
48 ,5,3,   1.6%,  0.58%
48 ,5,4,  95.9%,  0.47%
48 ,6,1,   4.6%,  0.49%
48 ,6,2,  11.4%,  0.70%
48 ,6,3,  84.0%,  0.81%
48 ,7,1,   3.3%,  0.57%
48 ,7,2,  39.8%,  1.24%
48 ,7,3,  56.9%,  1.01%
48 ,8,1,   6.7%,  0.86%
48 ,8,2,  15.7%,  0.75%
48 ,8,3,  77.5%,  1.09%
48 ,9,1,   1.9%,  0.50%
48 ,9,2,   2.1%,  0.40%
48 ,9,3,  34.7%,  1.23%
48 ,9,4,  61.2%,  1.05%
48 ,10,1,  12.3%,  1.05%
48 ,10,2,   5.1%,  0.89%
48 ,10,3,   5.6%,  0.90%
48 ,10,4,   1.7%,  0.43%
48 ,10,5,   3.6%,  0.55%
48 ,10,6,  15.7%,  1.28%
48 ,10,7,  75.8%,  1.57%
48 ,11,1,   6.9%,  0.67%
48 ,11,2,  11.8%,  0.81%
48 ,11,3,   2.9%,  0.71%
48 ,11,4,   5.6%,  0.61%
48 ,11,5,   8.5%,  0.93%
48 ,11,6,   4.1%,  0.68%
48 ,11,7,   8.5%,  1.04%
48 ,11,8,  72.8%,  1.48%
48 ,12,1,   1.7%,  0.53%
48 ,12,2,   8.8%,  1.04%
48 ,12,3,  39.3%,  1.76%
48 ,12,4,  27.9%,  1.74%
48 ,12,5,  22.4%,  1.73%
48 ,13,1,   6.9%,  0.53%
48 ,13,2,  12.1%,  1.06%
48 ,13,3,  16.1%,  0.78%
48 ,13,4,  22.3%,  1.31%
48 ,13,5,  17.9%,  1.02%
48 ,13,6,   6.7%,  0.80%
48 ,13,7,  18.1%,  1.46%
48 ,14,1,   5.1%,  0.69%
48 ,14,2,  94.9%,  0.69%
48 ,15,1,  10.5%,  1.22%
48 ,15,2,  89.5%,  1.22%
48 ,16,1,  69.3%,  1.90%
48 ,16,2,  23.6%,  1.14%
48 ,16,3,  15.8%,  0.87%
48 ,16,4,   0.6%,  0.25%
48 ,16,5,   0.6%,  0.22%
48 ,16,6,   1.8%,  0.30%
48 ,16,8,   1.3%,  0.44%
48 ,16,9,   4.4%,  0.70%
48 ,16,10,   8.5%,  0.82%
48 ,16,11,  11.2%,  1.21%
48 ,16,12,   4.4%,  0.61%
48 ,16,13,   2.5%,  0.81%
48 ,16,14,  20.8%,  1.45%
48 ,17,1,  68.0%,  1.65%
48 ,17,2,  20.3%,  1.37%
48 ,17,3,  10.2%,  0.99%
48 ,17,4,   0.4%,  0.23%
48 ,17,5,   0.8%,  0.20%
48 ,17,6,   1.9%,  0.29%
48 ,17,8,   1.1%,  0.33%
48 ,17,9,  26.2%,  1.72%
48 ,18,1,   7.5%,  1.15%
48 ,18,2,  29.5%,  1.45%
48 ,18,3,  63.0%,  1.20%
48 ,19,1,  26.3%,  1.42%
48 ,19,2,   7.0%,  0.75%
48 ,19,3,   4.0%,  0.74%
48 ,19,4,  23.4%,  1.34%
48 ,19,5,   9.9%,  1.12%
48 ,19,6,  23.2%,  1.33%
48 ,19,7,   7.0%,  1.06%
48 ,19,8,  42.1%,  1.55%
48 ,20,1,   0.7%,  0.29%
48 ,20,2,   3.7%,  0.42%
48 ,20,3,  12.2%,  1.07%
48 ,20,4,  40.5%,  2.04%
48 ,20,5,  10.4%,  1.10%
48 ,20,6,   2.0%,  0.27%
48 ,20,7,  17.1%,  1.76%
48 ,20,8,  13.5%,  0.98%
51 ,2,1,  31.3%,  1.80%
51 ,2,2,  44.1%,  2.69%
51 ,2,3,  19.4%,  1.61%
51 ,2,4,   4.2%,  0.66%
51 ,2,5,   1.0%,  0.41%
51 ,3,1,   8.7%,  1.07%
51 ,3,2,   5.8%,  1.41%
51 ,3,3,   4.3%,  1.17%
51 ,3,4,  16.2%,  1.80%
51 ,3,5,  19.3%,  1.82%
51 ,3,6,  13.6%,  1.58%
51 ,3,7,   7.1%,  1.03%
51 ,3,8,   9.4%,  1.06%
51 ,3,9,   9.4%,  1.23%
51 ,3,10,   6.1%,  1.54%
51 ,4,1,   8.9%,  1.35%
51 ,4,2,  22.8%,  1.64%
51 ,4,3,  68.3%,  1.36%
51 ,5,2,   1.2%,  0.33%
51 ,5,3,   1.5%,  0.65%
51 ,5,4,  97.2%,  0.81%
51 ,6,1,   6.9%,  0.92%
51 ,6,2,   7.4%,  1.64%
51 ,6,3,  85.6%,  1.55%
51 ,7,1,   2.1%,  0.81%
51 ,7,2,  32.2%,  2.57%
51 ,7,3,  65.7%,  2.73%
51 ,8,1,   5.0%,  0.66%
51 ,8,2,   9.2%,  1.32%
51 ,8,3,  85.7%,  1.31%
51 ,9,1,   4.6%,  1.06%
51 ,9,2,   2.8%,  0.78%
51 ,9,3,  73.0%,  1.99%
51 ,9,4,  19.6%,  1.96%
51 ,10,1,  14.0%,  1.38%
51 ,10,2,   5.5%,  1.01%
51 ,10,3,   4.0%,  0.94%
51 ,10,4,   1.0%,  0.50%
51 ,10,5,   8.6%,  1.06%
51 ,10,6,  13.0%,  0.59%
51 ,10,7,  74.9%,  2.07%
51 ,11,1,   4.7%,  0.55%
51 ,11,2,   6.1%,  1.16%
51 ,11,3,   4.4%,  0.84%
51 ,11,4,  10.2%,  1.74%
51 ,11,5,  14.4%,  2.00%
51 ,11,6,   1.4%,  0.46%
51 ,11,7,   8.8%,  1.26%
51 ,11,8,  70.3%,  1.34%
51 ,12,1,   1.2%,  0.36%
51 ,12,2,   5.7%,  0.69%
51 ,12,3,  44.6%,  1.82%
51 ,12,4,  31.1%,  1.47%
51 ,12,5,  17.3%,  1.09%
51 ,13,1,   3.7%,  0.86%
51 ,13,2,   6.4%,  0.81%
51 ,13,3,  12.1%,  1.78%
51 ,13,4,  25.6%,  1.69%
51 ,13,5,  33.6%,  1.34%
51 ,13,6,   4.2%,  0.95%
51 ,13,7,  14.4%,  1.72%
51 ,14,1,   1.6%,  0.42%
51 ,14,2,  98.4%,  0.42%
51 ,15,1,   8.8%,  1.27%
51 ,15,2,  91.2%,  1.27%
51 ,16,1,  62.1%,  3.22%
51 ,16,2,  18.1%,  1.66%
51 ,16,3,  10.5%,  1.22%
51 ,16,4,   0.9%,  0.27%
51 ,16,5,   2.1%,  0.64%
51 ,16,6,   1.5%,  0.47%
51 ,16,8,   0.8%,  0.45%
51 ,16,9,   6.0%,  0.99%
51 ,16,10,   6.1%,  1.02%
51 ,16,11,   7.8%,  1.37%
51 ,16,12,   2.8%,  0.67%
51 ,16,13,   5.1%,  1.04%
51 ,16,14,  30.6%,  2.86%
51 ,17,1,  61.2%,  3.30%
51 ,17,2,  15.3%,  1.51%
51 ,17,3,   5.7%,  0.60%
51 ,17,5,   2.4%,  0.48%
51 ,17,6,   1.5%,  0.53%
51 ,17,8,   1.2%,  0.49%
51 ,17,9,  34.6%,  3.31%
51 ,18,1,  35.3%,  1.82%
51 ,18,2,  44.7%,  1.59%
51 ,18,3,  19.9%,  1.75%
51 ,19,1,  26.6%,  1.28%
51 ,19,2,   9.8%,  0.93%
51 ,19,3,  20.9%,  1.19%
51 ,19,4,  41.6%,  1.91%
51 ,19,5,  11.5%,  1.37%
51 ,19,6,  20.4%,  1.32%
51 ,19,7,   5.3%,  0.88%
51 ,19,8,  33.5%,  2.89%
51 ,20,1,   0.7%,  0.27%
51 ,20,2,   3.0%,  0.98%
51 ,20,3,  12.5%,  1.29%
51 ,20,4,  48.6%,  1.68%
51 ,20,5,   7.9%,  0.91%
51 ,20,6,   0.9%,  0.50%
51 ,20,7,  19.8%,  1.69%
51 ,20,8,   6.6%,  1.00%
52 ,2,1,  13.7%,  0.86%
52 ,2,2,  48.1%,  1.30%
52 ,2,3,  32.8%,  1.59%
52 ,2,4,   3.6%,  0.50%
52 ,2,5,   1.8%,  0.31%
52 ,3,1,   6.4%,  0.54%
52 ,3,2,   3.6%,  0.50%
52 ,3,3,   4.9%,  0.42%
52 ,3,4,  13.2%,  1.84%
52 ,3,5,  22.6%,  1.03%
52 ,3,6,  15.8%,  1.16%
52 ,3,7,   7.9%,  0.77%
52 ,3,8,   8.5%,  1.00%
52 ,3,9,   7.6%,  0.60%
52 ,3,10,   9.5%,  0.85%
52 ,4,1,   6.1%,  0.48%
52 ,4,2,  20.5%,  1.43%
52 ,4,3,  73.5%,  1.60%
52 ,5,2,   1.3%,  0.23%
52 ,5,3,   1.2%,  0.28%
52 ,5,4,  97.4%,  0.36%
52 ,6,1,   4.2%,  0.65%
52 ,6,2,   4.1%,  0.54%
52 ,6,3,  91.7%,  0.76%
52 ,7,1,   0.5%,  0.19%
52 ,7,2,  20.6%,  1.34%
52 ,7,3,  78.8%,  1.29%
52 ,8,1,   3.0%,  0.34%
52 ,8,2,   6.8%,  0.53%
52 ,8,3,  90.2%,  0.48%
52 ,9,1,   4.4%,  0.54%
52 ,9,2,   3.2%,  0.40%
52 ,9,3,  64.1%,  1.66%
52 ,9,4,  28.3%,  1.45%
52 ,10,1,   5.2%,  0.68%
52 ,10,2,   1.4%,  0.33%
52 ,10,3,   2.4%,  0.50%
52 ,10,4,   0.7%,  0.29%
52 ,10,5,   3.4%,  0.60%
52 ,10,6,   5.2%,  0.59%
52 ,10,7,  89.7%,  0.88%
52 ,11,1,   2.1%,  0.41%
52 ,11,2,   5.6%,  0.64%
52 ,11,3,   5.3%,  0.87%
52 ,11,4,   7.4%,  0.98%
52 ,11,5,  14.8%,  1.26%
52 ,11,6,   1.8%,  0.41%
52 ,11,7,   3.4%,  0.38%
52 ,11,8,  76.4%,  1.69%
52 ,12,1,   1.2%,  0.28%
52 ,12,2,   4.8%,  0.33%
52 ,12,3,  62.2%,  1.33%
52 ,12,4,  25.6%,  1.59%
52 ,12,5,   6.1%,  0.45%
52 ,13,1,   2.3%,  0.34%
52 ,13,2,   5.2%,  0.59%
52 ,13,3,  11.6%,  0.48%
52 ,13,4,  24.1%,  0.78%
52 ,13,5,  40.7%,  1.06%
52 ,13,6,   2.5%,  0.46%
52 ,13,7,  13.5%,  0.83%
52 ,14,1,   0.5%,  0.19%
52 ,14,2,  99.5%,  0.19%
52 ,15,1,   3.6%,  0.48%
52 ,15,2,  96.4%,  0.48%
52 ,16,1,  53.2%,  1.24%
52 ,16,2,  11.4%,  0.81%
52 ,16,3,   6.7%,  0.87%
52 ,16,4,   0.4%,  0.22%
52 ,16,5,   0.7%,  0.19%
52 ,16,6,   1.0%,  0.24%
52 ,16,7,   0.4%,  0.13%
52 ,16,8,   0.3%,  0.14%
52 ,16,9,   1.7%,  0.35%
52 ,16,10,   3.0%,  0.45%
52 ,16,11,   8.6%,  0.70%
52 ,16,12,   1.7%,  0.42%
52 ,16,13,   1.6%,  0.40%
52 ,16,14,  38.7%,  1.45%
52 ,17,1,  51.7%,  1.32%
52 ,17,2,   9.6%,  0.67%
52 ,17,3,   3.7%,  0.58%
52 ,17,5,   0.7%,  0.13%
52 ,17,6,   1.0%,  0.26%
52 ,17,7,   0.2%,  0.11%
52 ,17,8,   0.7%,  0.30%
52 ,17,9,  44.2%,  1.44%
52 ,18,1,  35.2%,  1.45%
52 ,18,2,  32.1%,  1.71%
52 ,18,3,  32.7%,  1.34%
52 ,19,1,  12.6%,  0.97%
52 ,19,2,   2.5%,  0.48%
52 ,19,3,  13.8%,  0.85%
52 ,19,4,  31.4%,  0.85%
52 ,19,5,  12.4%,  0.68%
52 ,19,6,  14.6%,  0.99%
52 ,19,7,   2.5%,  0.47%
52 ,19,8,  50.1%,  1.25%
52 ,20,1,   1.0%,  0.33%
52 ,20,2,   3.6%,  0.42%
52 ,20,3,  12.7%,  0.96%
52 ,20,4,  35.5%,  1.87%
52 ,20,5,   5.2%,  0.88%
52 ,20,6,   0.8%,  0.20%
52 ,20,7,  29.8%,  1.70%
52 ,20,8,  11.5%,  0.92%
53 ,2,1,  22.6%,  1.30%
53 ,2,2,  41.3%,  1.10%
53 ,2,3,  29.4%,  1.67%
53 ,2,4,   5.2%,  0.45%
53 ,2,5,   1.5%,  0.28%
53 ,3,1,   9.5%,  0.76%
53 ,3,2,   3.5%,  0.36%
53 ,3,3,   5.7%,  0.51%
53 ,3,4,  14.7%,  0.85%
53 ,3,5,  21.5%,  1.53%
53 ,3,6,  14.2%,  1.45%
53 ,3,7,   6.9%,  0.65%
53 ,3,8,   9.1%,  0.67%
53 ,3,9,   6.4%,  0.78%
53 ,3,10,   8.6%,  0.80%
53 ,4,1,   7.9%,  0.85%
53 ,4,2,  23.2%,  0.84%
53 ,4,3,  68.9%,  1.14%
53 ,5,1,   0.5%,  0.19%
53 ,5,2,   1.7%,  0.43%
53 ,5,3,   2.3%,  0.37%
53 ,5,4,  95.5%,  0.63%
53 ,6,1,   3.8%,  0.53%
53 ,6,2,   6.6%,  0.49%
53 ,6,3,  89.6%,  0.79%
53 ,7,1,   2.5%,  0.35%
53 ,7,2,  26.7%,  1.49%
53 ,7,3,  70.8%,  1.67%
53 ,8,1,   3.6%,  0.53%
53 ,8,2,  10.3%,  0.61%
53 ,8,3,  86.1%,  0.81%
53 ,9,1,   2.5%,  0.49%
53 ,9,2,   3.8%,  0.62%
53 ,9,3,  50.7%,  1.60%
53 ,9,4,  43.0%,  1.41%
53 ,10,1,  12.0%,  1.00%
53 ,10,2,   4.0%,  0.74%
53 ,10,3,   5.3%,  0.65%
53 ,10,4,   1.3%,  0.41%
53 ,10,5,   4.4%,  0.74%
53 ,10,6,   7.4%,  0.97%
53 ,10,7,  83.0%,  1.56%
53 ,11,1,   3.2%,  0.66%
53 ,11,2,   6.5%,  0.77%
53 ,11,3,   3.1%,  0.40%
53 ,11,4,   6.7%,  0.72%
53 ,11,5,  11.6%,  0.91%
53 ,11,6,   3.5%,  0.64%
53 ,11,7,   7.7%,  0.83%
53 ,11,8,  75.8%,  1.43%
53 ,12,1,   1.0%,  0.24%
53 ,12,2,   4.9%,  0.56%
53 ,12,3,  59.1%,  1.31%
53 ,12,4,  24.1%,  1.32%
53 ,12,5,  11.0%,  1.02%
53 ,13,1,   3.3%,  0.49%
53 ,13,2,   4.3%,  0.72%
53 ,13,3,  10.7%,  1.15%
53 ,13,4,  25.5%,  1.85%
53 ,13,5,  36.0%,  1.60%
53 ,13,6,   3.4%,  0.79%
53 ,13,7,  16.7%,  1.12%
53 ,14,1,   2.2%,  0.54%
53 ,14,2,  97.8%,  0.54%
53 ,15,1,   7.0%,  0.81%
53 ,15,2,  93.0%,  0.81%
53 ,16,1,  58.4%,  1.57%
53 ,16,2,  14.6%,  1.76%
53 ,16,3,   9.9%,  1.19%
53 ,16,5,   1.4%,  0.41%
53 ,16,6,   1.6%,  0.19%
53 ,16,7,   0.4%,  0.21%
53 ,16,8,   0.8%,  0.43%
53 ,16,9,   2.9%,  0.41%
53 ,16,10,   4.3%,  0.67%
53 ,16,11,   7.5%,  0.96%
53 ,16,12,   3.0%,  0.62%
53 ,16,13,   2.0%,  0.50%
53 ,16,14,  34.3%,  1.52%
53 ,17,1,  57.3%,  1.43%
53 ,17,2,  12.4%,  1.72%
53 ,17,3,   6.2%,  1.01%
53 ,17,5,   1.2%,  0.35%
53 ,17,6,   2.1%,  0.21%
53 ,17,8,   1.2%,  0.46%
53 ,17,9,  38.2%,  1.47%
53 ,18,1,  23.4%,  1.00%
53 ,18,2,  33.9%,  1.52%
53 ,18,3,  42.7%,  1.97%
53 ,19,1,  15.9%,  1.09%
53 ,19,2,   5.3%,  0.69%
53 ,19,3,   9.7%,  1.12%
53 ,19,4,  27.0%,  1.30%
53 ,19,5,  10.7%,  0.87%
53 ,19,6,  11.2%,  0.99%
53 ,19,7,   3.7%,  0.68%
53 ,19,8,  53.3%,  1.79%
53 ,20,1,   0.5%,  0.19%
53 ,20,2,   3.7%,  0.59%
53 ,20,3,  12.5%,  0.82%
53 ,20,4,  37.4%,  1.71%
53 ,20,5,   5.0%,  0.52%
53 ,20,6,   2.6%,  0.60%
53 ,20,7,  24.1%,  2.10%
53 ,20,8,  14.1%,  1.99%
54 ,2,1,  22.1%,  0.54%
54 ,2,2,  49.9%,  0.86%
54 ,2,3,  22.1%,  0.60%
54 ,2,4,   4.8%,  0.30%
54 ,2,5,   1.0%,  0.16%
54 ,3,1,   7.6%,  0.58%
54 ,3,2,   3.1%,  0.23%
54 ,3,3,   4.7%,  0.39%
54 ,3,4,  11.6%,  0.56%
54 ,3,5,  17.4%,  0.61%
54 ,3,6,  16.1%,  0.72%
54 ,3,7,   9.9%,  0.46%
54 ,3,8,  13.0%,  0.67%
54 ,3,9,   9.3%,  0.54%
54 ,3,10,   7.3%,  0.32%
54 ,4,1,   6.6%,  0.38%
54 ,4,2,  23.5%,  0.85%
54 ,4,3,  69.9%,  0.60%
54 ,5,1,   0.2%,  0.08%
54 ,5,2,   1.4%,  0.20%
54 ,5,3,   1.3%,  0.20%
54 ,5,4,  97.1%,  0.27%
54 ,6,1,   5.3%,  0.62%
54 ,6,2,   6.6%,  0.21%
54 ,6,3,  88.0%,  0.68%
54 ,7,1,   1.9%,  0.21%
54 ,7,2,  29.6%,  0.42%
54 ,7,3,  68.5%,  0.43%
54 ,8,1,   5.7%,  0.44%
54 ,8,2,  11.0%,  0.29%
54 ,8,3,  83.4%,  0.51%
54 ,9,1,   5.0%,  0.33%
54 ,9,2,   5.2%,  0.31%
54 ,9,3,  67.2%,  0.81%
54 ,9,4,  22.6%,  0.74%
54 ,10,1,  13.5%,  0.47%
54 ,10,2,   4.2%,  0.40%
54 ,10,3,   4.4%,  0.27%
54 ,10,4,   1.2%,  0.18%
54 ,10,5,   5.7%,  0.26%
54 ,10,6,   9.8%,  0.35%
54 ,10,7,  79.8%,  0.36%
54 ,11,1,   4.4%,  0.30%
54 ,11,2,   5.8%,  0.49%
54 ,11,3,   5.0%,  0.36%
54 ,11,4,   8.7%,  0.46%
54 ,11,5,  13.1%,  0.39%
54 ,11,6,   2.7%,  0.19%
54 ,11,7,   6.5%,  0.38%
54 ,11,8,  73.6%,  0.50%
54 ,12,1,   1.2%,  0.24%
54 ,12,2,   7.7%,  0.49%
54 ,12,3,  48.9%,  1.06%
54 ,12,4,  29.5%,  0.84%
54 ,12,5,  12.7%,  0.28%
54 ,13,1,   3.5%,  0.22%
54 ,13,2,   5.9%,  0.61%
54 ,13,3,  12.7%,  0.41%
54 ,13,4,  29.8%,  0.66%
54 ,13,5,  33.7%,  0.58%
54 ,13,6,   2.9%,  0.26%
54 ,13,7,  11.5%,  0.51%
54 ,14,1,   1.7%,  0.36%
54 ,14,2,  98.3%,  0.36%
54 ,15,1,   6.7%,  0.44%
54 ,15,2,  93.3%,  0.44%
54 ,16,1,  70.0%,  0.51%
54 ,16,2,  17.8%,  0.49%
54 ,16,3,   8.9%,  0.28%
54 ,16,4,   0.6%,  0.10%
54 ,16,5,   1.3%,  0.16%
54 ,16,6,   2.6%,  0.36%
54 ,16,7,   0.5%,  0.12%
54 ,16,8,   0.6%,  0.13%
54 ,16,9,   3.6%,  0.19%
54 ,16,10,   4.9%,  0.26%
54 ,16,11,  10.2%,  0.30%
54 ,16,12,   2.9%,  0.19%
54 ,16,13,   2.5%,  0.26%
54 ,16,14,  24.1%,  0.58%
54 ,17,1,  69.1%,  0.67%
54 ,17,2,  14.9%,  0.50%
54 ,17,3,   5.2%,  0.24%
54 ,17,4,   0.2%,  0.08%
54 ,17,5,   1.2%,  0.20%
54 ,17,6,   2.5%,  0.35%
54 ,17,7,   0.3%,  0.11%
54 ,17,8,   0.9%,  0.18%
54 ,17,9,  27.4%,  0.69%
54 ,18,1,  30.3%,  0.74%
54 ,18,2,  31.8%,  0.94%
54 ,18,3,  37.9%,  0.86%
54 ,19,1,  21.1%,  0.47%
54 ,19,2,   6.5%,  0.31%
54 ,19,3,  13.4%,  0.86%
54 ,19,4,  35.6%,  0.64%
54 ,19,5,  14.0%,  0.81%
54 ,19,6,  22.0%,  0.53%
54 ,19,7,   4.7%,  0.30%
54 ,19,8,  38.6%,  0.93%
54 ,20,1,   0.7%,  0.16%
54 ,20,2,   3.9%,  0.29%
54 ,20,3,  14.1%,  0.46%
54 ,20,4,  43.0%,  0.66%
54 ,20,5,   5.8%,  0.39%
54 ,20,6,   1.0%,  0.15%
54 ,20,7,  21.0%,  0.70%
54 ,20,8,  10.5%,  0.54%
55 ,2,2,  51.0%, 12.22%
55 ,2,3,  37.4%, 10.40%
55 ,3,1,  27.5%, 18.59%
55 ,3,4,  15.2%,  8.64%
55 ,3,6,  12.4%,  8.32%
55 ,3,9,  17.0%,  7.68%
55 ,4,2,  19.5%,  8.57%
55 ,4,3,  77.9%,  7.72%
55 ,5,4,  97.5%,  2.61%
55 ,6,3,  92.2%,  3.16%
55 ,7,2,   9.3%,  6.81%
55 ,7,3,  90.7%,  6.81%
55 ,8,2,  17.3%,  9.39%
55 ,8,3,  82.7%,  9.39%
55 ,9,3,  58.6%,  9.19%
55 ,9,4,  38.9%,  9.28%
55 ,10,7,  90.7%,  6.88%
55 ,11,8,  70.0%, 19.13%
55 ,12,3,  81.3%,  7.81%
55 ,12,4,  11.7%,  5.35%
55 ,13,3,   9.6%,  4.60%
55 ,13,4,  19.2%, 10.15%
55 ,13,5,  36.7%, 11.94%
55 ,13,7,  20.5%, 13.57%
55 ,14,2,  97.5%,  2.61%
55 ,15,2,  97.5%,  2.61%
55 ,16,1,  39.2%, 10.95%
55 ,16,2,  11.8%,  6.72%
55 ,16,14,  52.8%,  8.44%
55 ,17,1,  39.2%, 10.95%
55 ,17,2,  11.8%,  6.72%
55 ,17,9,  60.8%, 10.95%
55 ,18,1,  13.5%,  7.71%
55 ,18,2,  12.4%,  9.60%
55 ,18,3,  74.2%, 11.22%
55 ,19,1,   8.8%,  5.03%
55 ,19,4,  14.2%,  6.17%
55 ,19,5,  15.8%,  9.81%
55 ,19,6,  13.3%,  5.18%
55 ,19,8,  65.1%,  9.40%
55 ,20,4,  28.7%,  7.83%
55 ,20,7,  37.7%, 11.72%
55 ,20,8,  18.4%,  7.12%
56 ,2,1,  27.7%,  1.06%
56 ,2,2,  42.1%,  1.46%
56 ,2,3,  23.2%,  0.85%
56 ,2,4,   5.7%,  0.93%
56 ,2,5,   1.3%,  0.43%
